"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP5","East Asia & Pacific",2070,"60-64","Female",16745.7461514615,93003.8224972396,64039400,20,0.000261491303033156,26.1491303033156,0.00145229066008176,145.229066008176,0.180054385957722
"SSP5","East Asia & Pacific",2070,"60-64","Male",48982.1252309994,246139.714581417,70230700,20,0.000697446063203121,69.7446063203121,0.00350473104470576,350.473104470576,0.199001308319131
"SSP5","East Asia & Pacific",2070,"65-69","Female",31184.1017745044,159118.230064751,60148200,20,0.000518454447090759,51.8454447090759,0.00264543627348369,264.543627348369,0.195980697886184
"SSP5","East Asia & Pacific",2070,"65-69","Male",74402.7347113007,368572.384936638,64590300,20,0.00115191808539828,115.191808539828,0.00570631170526594,570.631170526594,0.201867361072348
"SSP5","East Asia & Pacific",2070,"70-74","Female",68136.2453420747,315534.904096639,60526400,20,0.00112572770463921,112.572770463921,0.00521317811891405,521.317811891405,0.215938853221787
"SSP5","East Asia & Pacific",2070,"70-74","Male",137059.077699203,645113.789921739,62611100,20,0.00218905398083092,218.905398083093,0.0103035051280322,1030.35051280322,0.212457212728053
"SSP5","East Asia & Pacific",2070,"75-79","Female",143003.17921714,638049.137718716,67009000,20,0.00213408914052052,213.408914052052,0.00952184240503091,952.184240503091,0.224125652341501
"SSP5","East Asia & Pacific",2070,"75-79","Male",232049.319009689,1101301.14055129,65493300,20,0.00354310011878603,354.310011878603,0.0168154779275329,1681.54779275329,0.210704693262671
"SSP5","East Asia & Pacific",2070,"80-84","Female",325587.185986553,1303837.70600873,68077900,20,0.00478256799910915,478.256799910915,0.0191521434416856,1915.21434416856,0.249714503949446
"SSP5","East Asia & Pacific",2070,"80-84","Male",443983.924824431,2011905.06445834,61042600,20,0.00727334557873404,727.334557873404,0.032959032945162,3295.9032945162,0.220678367318471
"SSP5","East Asia & Pacific",2070,"85-89","Female",583977.000074591,2074892.14340311,50907400,20,0.011471357800135,1147.1357800135,0.0407581637129987,4075.81637129987,0.281449328309079
"SSP5","East Asia & Pacific",2070,"85-89","Male",626665.689247849,2576550.65251909,40080700,20,0.0156350984201336,1563.50984201336,0.0642840731953058,6428.40731953058,0.243218850999556
"SSP5","East Asia & Pacific",2070,"90-94","Female",707188.776428587,2532446.88885813,32937900,20,0.0214703662476535,2147.03662476535,0.0768854993444674,7688.54993444674,0.279251177799608
"SSP5","East Asia & Pacific",2070,"90-94","Male",622334.930216906,2581129.32180462,21155600,20,0.0294170304891804,2941.70304891804,0.122006907003565,12200.6907003565,0.241109550366037
"SSP5","East Asia & Pacific",2070,"95+","Female",1019693.35955308,4084038.12451984,20796400,20,0.0490322055525515,4903.22055525515,0.196381975943905,19638.1975943905,0.249677727891673
"SSP5","East Asia & Pacific",2070,"95+","Male",532423.706143284,2439625.72112457,9358601,20,0.05689137790395,5689.137790395,0.260682736781339,26068.2736781339,0.218239913415021
"SSP5","East Asia & Pacific",2075,"0-4","Female",47.8926963200002,5867.25456049821,22577300,20,2.12127651756411e-06,0.212127651756411,0.000259874057593167,25.9874057593167,0.00816270980339626
"SSP5","East Asia & Pacific",2075,"0-4","Male",64.5032212314697,9835.76062538106,23982300,20,2.6896178111136e-06,0.26896178111136,0.000410125827188429,41.0125827188429,0.00655803081106102
"SSP5","East Asia & Pacific",2075,"5-9","Female",5.0954731065825,311.22339426572,22049900,14,2.31088263737364e-07,0.0231088263737364,1.41145036605935e-05,1.41145036605935,0.0163723974497625
"SSP5","East Asia & Pacific",2075,"5-9","Male",6.77176271243366,475.854780966889,25387400,18,2.6673714962673e-07,0.026673714962673,1.87437382704369e-05,1.87437382704369,0.0142307337937724
